index,feature,importance
740,MEAN(previous_app.SUM(cash.CNT_INSTALMENT)),88
1488,MEAN(previous_app.STD(installments.NUM_INSTALMENT_VERSION)),88
729,STD(bureau.NUM_UNIQUE(bureau_balance.STATUS)),88
375,STD(bureau_balance.MONTHS_BALANCE),88
46,FLAG_DOCUMENT_18,87
211,MAX(previous_app.AMT_APPLICATION),87
277,STD(installments.DAYS_ENTRY_PAYMENT),87
910,MAX(previous_app.STD(installments.DAYS_ENTRY_PAYMENT)),87
795,MEAN(previous_app.STD(installments.AMT_INSTALMENT)),86
234,COUNT(bureau),86
670,SUM(previous_app.SKEW(installments.DAYS_INSTALMENT)),86
99,NONLIVINGAREA_MEDI,86
475,SUM(installments.AMT_INSTALMENT),86
1376,MAX(previous_app.SUM(cash.CNT_INSTALMENT_FUTURE)),86
709,MAX(previous_app.SKEW(cash.CNT_INSTALMENT)),85
1524,SKEW(bureau.MAX(bureau_balance.MONTHS_BALANCE)),85
1275,SUM(previous_app.SKEW(installments.NUM_INSTALMENT_NUMBER)),85
1598,STD(previous_app.MIN(installments.AMT_PAYMENT)),85
117,COMMONAREA_MODE,84
577,STD(bureau.COUNT(bureau_balance)),84
469,SKEW(bureau.AMT_CREDIT_SUM_LIMIT),84
351,STD(installments.AMT_PAYMENT),84
344,MIN(previous_app.DAYS_LAST_DUE_1ST_VERSION),84
1666,MIN(previous_app.SUM(cash.CNT_INSTALMENT)),84
341,MEAN(installments.NUM_INSTALMENT_NUMBER),83
942,MEAN(previous_app.MIN(cash.CNT_INSTALMENT)),83
867,STD(bureau.MIN(bureau_balance.MONTHS_BALANCE)),83
1007,SUM(previous_app.STD(installments.NUM_INSTALMENT_VERSION)),83
554,SUM(previous_app.AMT_CREDIT),83
790,SKEW(previous_app.MEAN(installments.AMT_PAYMENT)),82
1386,STD(previous_app.SUM(cash.MONTHS_BALANCE)),82
340,MEAN(previous_app.DAYS_LAST_DUE_1ST_VERSION),82
1008,MIN(previous_app.SUM(installments.DAYS_ENTRY_PAYMENT)),82
86,WEEKDAY_APPR_PROCESS_START,82
1063,SUM(previous_app.STD(cash.MONTHS_BALANCE)),82
207,MAX(credit.SK_ID_CURR),81
1381,SKEW(previous_app.MEAN(installments.AMT_INSTALMENT)),81
1243,MAX(previous_app.MEAN(cash.MONTHS_BALANCE)),81
1532,STD(previous_app.SKEW(cash.CNT_INSTALMENT)),81
462,STD(credit.CNT_DRAWINGS_ATM_CURRENT),81
1452,STD(previous_app.MEAN(installments.AMT_INSTALMENT)),81
346,MAX(previous_app.DAYS_FIRST_DUE),80
1521,MAX(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),80
1562,STD(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),80
1028,SUM(previous_app.STD(cash.CNT_INSTALMENT_FUTURE)),79
906,STD(previous_app.SKEW(installments.AMT_PAYMENT)),79
423,SKEW(bureau.DAYS_ENDDATE_FACT),79
251,STD(previous_app.AMT_GOODS_PRICE),79
988,MIN(bureau.COUNT(bureau_balance)),79
1042,MEAN(previous_app.SUM(installments.DAYS_ENTRY_PAYMENT)),79
595,SKEW(bureau.MEAN(bureau_balance.MONTHS_BALANCE)),79
186,MAX(bureau.AMT_CREDIT_SUM_OVERDUE),79
1096,SUM(previous_app.STD(installments.DAYS_INSTALMENT)),78
1600,MEAN(previous_app.SUM(cash.CNT_INSTALMENT_FUTURE)),78
11,REG_CITY_NOT_LIVE_CITY,78
71,APARTMENTS_MEDI,78
1497,MEAN(previous_app.NUM_UNIQUE(cash.NAME_CONTRACT_STATUS)),78
309,SUM(previous_app.DAYS_FIRST_DUE),77
1649,MIN(previous_app.SUM(installments.AMT_PAYMENT)),77
858,MAX(previous_app.SUM(installments.AMT_INSTALMENT)),77
284,STD(previous_app.DAYS_FIRST_DUE),77
1069,MAX(previous_app.STD(installments.NUM_INSTALMENT_NUMBER)),77
782,MAX(previous_app.STD(installments.DAYS_INSTALMENT)),77
602,MAX(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),77
1209,MAX(previous_app.SKEW(installments.AMT_INSTALMENT)),76
228,STD(installments.NUM_INSTALMENT_NUMBER),76
55,ENTRANCES_MEDI,76
100,LANDAREA_AVG,75
918,MIN(previous_app.SKEW(installments.NUM_INSTALMENT_VERSION)),75
381,STD(previous_app.AMT_APPLICATION),75
1125,MIN(previous_app.SUM(cash.CNT_INSTALMENT_FUTURE)),75
968,MIN(bureau.MEAN(bureau_balance.MONTHS_BALANCE)),74
826,MEAN(previous_app.MEAN(installments.AMT_PAYMENT)),74
530,MEAN(cash.SK_DPD_DEF),74
1053,SKEW(bureau.COUNT(bureau_balance)),74
1515,STD(previous_app.COUNT(installments)),73
427,STD(bureau.AMT_ANNUITY),73
120,NUM_UNIQUE(previous_app.NAME_CASH_LOAN_PURPOSE),73
1300,SUM(previous_app.STD(installments.DAYS_ENTRY_PAYMENT)),73
741,STD(previous_app.MAX(cash.MONTHS_BALANCE)),73
926,SKEW(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),73
973,SKEW(previous_app.MIN(installments.AMT_INSTALMENT)),72
996,MEAN(previous_app.MAX(installments.AMT_INSTALMENT)),72
266,STD(credit.AMT_CREDIT_LIMIT_ACTUAL),72
1118,SKEW(previous_app.SUM(installments.NUM_INSTALMENT_NUMBER)),72
367,MEAN(bureau.AMT_CREDIT_SUM_OVERDUE),72
857,SKEW(bureau.SUM(bureau_balance.MONTHS_BALANCE)),72
625,MAX(previous_app.MEAN(installments.AMT_INSTALMENT)),71
467,SKEW(credit.AMT_INST_MIN_REGULARITY),71
1250,MEAN(previous_app.SUM(cash.SK_DPD_DEF)),71
500,MEAN(bureau.AMT_ANNUITY),71
282,STD(installments.AMT_INSTALMENT),70
319,MIN(previous_app.AMT_APPLICATION),70
1086,MEAN(previous_app.MAX(installments.DAYS_ENTRY_PAYMENT)),70
1637,MIN(previous_app.STD(installments.NUM_INSTALMENT_NUMBER)),70
1681,SKEW(previous_app.STD(installments.AMT_PAYMENT)),70
1687,STD(previous_app.SUM(cash.CNT_INSTALMENT)),69
529,STD(previous_app.DAYS_LAST_DUE_1ST_VERSION),69
600,SUM(previous_app.STD(credit.CNT_DRAWINGS_ATM_CURRENT)),69
220,MEAN(credit.AMT_PAYMENT_CURRENT),68
539,MODE(previous_app.NAME_YIELD_GROUP),68
1489,STD(bureau.MEAN(bureau_balance.MONTHS_BALANCE)),68
1447,MEAN(previous_app.MEAN(credit.CNT_DRAWINGS_ATM_CURRENT)),68
76,ENTRANCES_AVG,67
119,FLAG_DOCUMENT_16,67
36,NAME_INCOME_TYPE,67
1211,STD(previous_app.MIN(cash.MONTHS_BALANCE)),67
1614,MAX(previous_app.SUM(installments.DAYS_ENTRY_PAYMENT)),66
1298,MEAN(previous_app.MIN(cash.MONTHS_BALANCE)),66
1375,MEAN(previous_app.STD(installments.DAYS_ENTRY_PAYMENT)),65
459,SUM(credit.AMT_CREDIT_LIMIT_ACTUAL),65
374,MEAN(bureau_balance.MONTHS_BALANCE),65
267,MODE(previous_app.WEEKDAY_APPR_PROCESS_START),64
